date,AAPL,Return,42d,252d,Mov_Vol
2007-11-29,184.29,0.022332277037054538,173.35476190476192,119.5131746031746,0.04389360511538812
2007-11-30,182.22,-0.011295855558233247,173.9207142857143,119.87198412698412,0.0431888948262108
2007-12-03,178.86,-0.018611371367677217,174.41928571428573,120.21801587301587,0.042112631362422666
2007-12-04,179.81,0.005297360925511124,174.98047619047617,120.56916666666667,0.04268043594702838
2007-12-05,185.5,0.031154144203943607,175.55309523809524,120.94369047619048,0.044781077239803145
2007-12-06,189.95,0.023705997586144605,176.07785714285714,121.33527777777779,0.04617080033433747
2007-12-07,194.3,0.02264247674975997,176.70738095238096,121.74984126984127,0.048598946665667
2007-12-10,194.21,-0.0004633085460343693,177.3602380952381,122.17511904761905,0.05055730051506559
2007-12-11,188.54,-0.02962986186935583,177.98666666666665,122.57305555555556,0.047813966172378056
2007-12-12,190.86,0.012229989021103666,178.54880952380952,122.97825396825397,0.048235621102617025
2007-12-13,191.83,0.0050693881591387215,179.1404761904762,123.39765873015872,0.05043530736581365
2007-12-14,190.39,-0.007534963178661482,179.63595238095238,123.79980158730159,0.047867725829968344
2007-12-17,184.4,-0.03196728884709151,179.91333333333336,124.18015873015874,0.0462086732431459
2007-12-18,182.98,-0.00773045387110439,180.13904761904763,124.5581746031746,0.046314943423125636
2007-12-19,183.12,0.0007648183929220497,180.4414285714286,124.9456746031746,0.04799999123625006
2007-12-20,187.21,0.022089305775865802,180.74738095238095,125.34607142857143,0.04877540278449021
2007-12-21,193.91,0.03516315247434954,180.93190476190478,125.77920634920635,0.05213203505015195
2007-12-24,198.8,0.024905160327947085,181.23833333333332,126.239126984127,0.05509866758976673
2007-12-26,198.95,0.0007542426504639742,181.62333333333333,126.70242063492064,0.05568035508567525
2007-12-27,198.57,-0.001911854073996482,181.95357142857142,127.16694444444444,0.05609093385363644
2007-12-28,199.83,0.0063253222942567635,182.3045238095238,127.63642857142857,0.05648166379237596
2007-12-31,198.08,-0.008796015596966494,182.56833333333333,128.1015476190476,0.05643186358459113
2008-01-02,194.84,-0.016492280557889406,182.6847619047619,128.53805555555556,0.05237400656698652
2008-01-03,194.93,0.00046181081971169565,182.86309523809524,128.97904761904763,0.05318007458092791
2008-01-04,180.05,-0.07940592966316935,182.67690476190478,129.35361111111112,0.04679506439885022
2008-01-07,177.64,-0.01347555967098288,182.47357142857143,129.72103174603174,0.046396380774835044
2008-01-08,171.25,-0.03663455328156683,181.9845238095238,130.06142857142856,0.04377830455052433
2008-01-09,179.4,0.046493472482361145,181.82023809523812,130.40599206349205,0.04168021082068001
